Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Devin Booker,27.0,PHX,Combo,602,100,34.1%,89,124.5,100,37.9%,72,1.11,56,11.2%
Cade Cunningham,22.1,DET,Wing,889,100,32.6%,15,104.9,100,32.1%,92,0.99,11,15.1%
Tyrese Haliburton,23.7,IND,Point,710,86,31.3%,100,136.4,100,47.2%,89,1.51,69,9.9%
LeBron James,38.8,LAL,Forward,809,99,30.9%,89,128.2,100,33.1%,96,1.07,11,14.1%
Nikola Jokic,28.7,DEN,Big,871,99,34.1%,57,122.9,100,43.5%,97,1.28,79,10.2%
Draymond Green,33.7,GSW,Big,377,70,19.3%,53,121.8,99,34.0%,100,1.76,9,20.4%
Malik Monk,25.7,SAC,Wing,603,89,25.4%,75,121.4,99,29.9%,99,1.18,15,14.9%
Kyle Anderson,30.1,MIN,Forward,553,65,17.7%,15,101.9,99,25.3%,100,1.43,7,15.5%
Chris Paul,38.5,GSW,Combo,623,46,19.6%,26,104.9,98,37.0%,100,1.89,67,10.5%
Joel Embiid,29.6,PHI,Big,745,100,37.6%,76,129.4,98,31.2%,77,0.83,56,12.7%
Jordan Clarkson,31.4,UTA,Wing,585,96,28.0%,9,101.3,97,25.1%,80,0.89,20,14.4%
Scottie Barnes,22.3,TOR,Forward,871,83,24.6%,56,117.8,97,24.4%,93,0.99,25,12.1%
Trae Young,25.1,ATL,Point,822,97,36.7%,54,116.6,97,43.8%,66,1.19,29,12.8%
Domantas Sabonis,27.5,SAC,Big,835,87,23.7%,61,124.4,97,30.1%,96,1.27,37,16.0%
Malcolm Brogdon,30.9,POR,Combo,486,86,28.5%,33,106.8,96,34.1%,79,1.20,86,8.7%
Brandon Ingram,26.2,NOP,Wing,795,97,29.9%,59,116.1,96,24.5%,68,0.82,44,12.1%
Kelly Olynyk,32.5,UTA,Big,515,55,16.5%,85,135.3,96,26.9%,99,1.63,13,19.9%
Josh Giddey,21.1,OKC,Forward,610,85,25.2%,6,96.1,96,24.1%,90,0.96,4,16.0%
Kevin Durant,35.1,PHX,Big,803,98,31.7%,68,127.2,95,26.7%,78,0.84,59,12.2%
Khris Middleton,32.2,MIL,Wing,479,92,26.7%,53,113.9,95,24.4%,84,0.91,23,13.6%
Skylar Mays,26.2,POR,Combo,285,65,22.4%,21,100.9,95,33.8%,93,1.51,84,9.5%
Giannis Antetokounmpo,28.9,MIL,Forward,869,100,33.2%,93,131.6,94,24.1%,75,0.73,14,13.9%
Luka Doncic,24.7,DAL,Point,878,100,39.5%,86,124.5,94,42.2%,40,1.07,40,11.9%
Alperen Sengun,21.3,HOU,Big,740,91,26.9%,36,115.2,94,26.4%,88,0.98,49,13.3%
Collin Sexton,24.8,UTA,Wing,532,91,26.5%,62,117.5,94,23.8%,81,0.90,25,13.5%
Zion Williamson,23.3,NOP,Big,676,95,28.5%,59,123.5,93,24.1%,79,0.84,60,12.0%
Julius Randle,28.9,NYK,Forward,871,96,29.5%,31,109.8,93,23.8%,82,0.81,21,13.3%
James Harden,34.2,LAC,Combo,669,68,22.9%,95,132.1,93,31.2%,89,1.36,35,13.1%
Joe Ingles,36.1,ORL,Wing,432,37,14.1%,67,119.4,92,22.7%,100,1.61,34,12.6%
Pascal Siakam,29.6,TOR,Big,861,90,25.3%,39,116.3,92,21.5%,80,0.85,63,11.7%
DeMar DeRozan,34.2,CHI,Forward,909,94,27.5%,35,111.1,92,23.4%,86,0.85,93,6.0%
TJ McConnell,31.6,IND,Point,242,71,28.8%,29,106.9,91,41.0%,86,1.43,31,12.7%
Kyle Kuzma,28.3,WAS,Big,776,97,30.6%,27,111.5,91,21.2%,59,0.69,74,10.6%
Terry Rozier,29.6,CHA,Combo,538,91,28.9%,81,119.7,91,30.2%,65,1.05,74,9.9%
Gordon Hayward,33.6,CHA,Wing,718,80,21.7%,30,109.1,91,19.9%,86,0.92,46,12.1%
Paolo Banchero,21.0,ORL,Big,840,96,28.7%,25,111.2,90,20.8%,66,0.73,44,14.4%
Jimmy Butler,34.1,MIA,Forward,748,93,26.7%,68,120.2,90,21.3%,81,0.80,75,8.9%
Dante Exum,28.3,DAL,Wing,339,71,18.6%,96,135.7,90,19.4%,95,1.05,76,8.9%
Anfernee Simons,24.4,POR,Combo,231,95,31.8%,84,120.8,89,28.9%,39,0.91,65,10.7%
Bam Adebayo,26.3,MIA,Big,536,94,28.2%,42,117.1,89,20.5%,65,0.73,64,11.5%
Deni Avdija,22.8,WAS,Forward,673,68,18.5%,71,120.7,89,19.2%,94,1.04,22,12.9%
LaMelo Ball,22.2,CHA,Point,501,94,35.3%,46,114.6,89,38.8%,49,1.10,17,13.7%
Zach Collins,25.9,SAS,Big,670,85,21.6%,33,113.6,88,18.9%,82,0.88,18,18.0%
